epoch,learning_rate,loss,val_loss
0,9.999999747378752e-05,11.530999183654785,9.487427711486816
1,9.999999747378752e-05,7.913110733032227,7.032323837280273
2,9.999999747378752e-05,6.464215278625488,6.008992671966553
3,9.999999747378752e-05,5.712408065795898,5.543583393096924
4,9.999999747378752e-05,5.249485492706299,5.244583606719971
5,9.999999747378752e-05,4.919554233551025,5.027493476867676
6,9.999999747378752e-05,4.6537322998046875,4.857565402984619
7,9.999999747378752e-05,4.445032596588135,4.7390828132629395
8,9.999999747378752e-05,4.283968448638916,4.698313236236572
9,9.999999747378752e-05,4.148495674133301,4.6297926902771
10,9.999999747378752e-05,4.026902198791504,4.601440906524658
11,9.999999747378752e-05,3.923842668533325,4.556130886077881
12,9.999999747378752e-05,3.8196842670440674,4.5344438552856445
13,9.999999747378752e-05,3.726332902908325,4.533694744110107
14,9.999999747378752e-05,3.637561798095703,4.527305603027344
15,9.999999747378752e-05,3.5471503734588623,4.517075061798096
16,9.999999747378752e-05,3.4656832218170166,4.513808727264404
17,9.999999747378752e-05,3.392604351043701,4.525562286376953
18,9.999999747378752e-05,3.3080577850341797,4.523335933685303
19,4.999999873689376e-05,3.1176750659942627,4.508494853973389
0,9.999999747378752e-05,11.582832336425781,9.604281425476074
1,9.999999747378752e-05,7.9506096839904785,7.019340991973877
2,9.999999747378752e-05,6.465671062469482,5.999408721923828
3,9.999999747378752e-05,5.701876640319824,5.49244499206543
4,9.999999747378752e-05,5.253191947937012,5.253594398498535
5,9.999999747378752e-05,4.938533782958984,5.038755416870117
6,9.999999747378752e-05,4.6677069664001465,4.851740837097168
7,9.999999747378752e-05,4.450969696044922,4.7430830001831055
8,9.999999747378752e-05,4.2801313400268555,4.669544696807861
9,9.999999747378752e-05,4.1485466957092285,4.610466480255127
10,9.999999747378752e-05,4.033510208129883,4.588005542755127
11,9.999999747378752e-05,3.9214377403259277,4.5719075202941895
12,9.999999747378752e-05,3.8224105834960938,4.540466785430908
13,9.999999747378752e-05,3.7262978553771973,4.528658866882324
14,9.999999747378752e-05,3.638106107711792,4.5225067138671875
15,9.999999747378752e-05,3.5466060638427734,4.532932281494141
16,9.999999747378752e-05,3.469050884246826,4.506667137145996
17,9.999999747378752e-05,3.393272876739502,4.568255424499512
18,9.999999747378752e-05,3.3120923042297363,4.524922847747803
19,4.999999873689376e-05,3.1202175617218018,4.505890846252441
0,9.999999747378752e-05,11.55910873413086,9.575390815734863
1,9.999999747378752e-05,7.920938968658447,7.070609092712402
2,9.999999747378752e-05,6.459467887878418,6.017495632171631
3,9.999999747378752e-05,5.683384418487549,5.479604721069336
4,9.999999747378752e-05,5.2314581871032715,5.24639892578125
5,9.999999747378752e-05,4.906552314758301,5.0270233154296875
6,9.999999747378752e-05,4.644136428833008,4.859855651855469
7,9.999999747378752e-05,4.4371209144592285,4.741709232330322
8,9.999999747378752e-05,4.270662307739258,4.6559929847717285
9,9.999999747378752e-05,4.135144233703613,4.614973545074463
10,9.999999747378752e-05,4.021856784820557,4.560729026794434
11,9.999999747378752e-05,3.911541223526001,4.550606727600098
12,9.999999747378752e-05,3.813608407974243,4.562526702880859
13,9.999999747378752e-05,3.718552350997925,4.533193588256836
14,9.999999747378752e-05,3.63759446144104,4.522781848907471
15,9.999999747378752e-05,3.546191930770874,4.505105972290039
16,9.999999747378752e-05,3.4639410972595215,4.502352714538574
17,9.999999747378752e-05,3.382098913192749,4.542466163635254
18,9.999999747378752e-05,3.3065073490142822,4.508275032043457
19,4.999999873689376e-05,3.1174168586730957,4.494976997375488
0,9.999999747378752e-05,11.563886642456055,9.594765663146973
1,9.999999747378752e-05,7.938360214233398,7.087682247161865
2,9.999999747378752e-05,6.48671817779541,6.064917087554932
3,9.999999747378752e-05,5.721137523651123,5.5662031173706055
4,9.999999747378752e-05,5.253393173217773,5.3364739418029785
5,9.999999747378752e-05,4.920713901519775,5.014714241027832
6,9.999999747378752e-05,4.663443565368652,4.89103364944458
7,9.999999747378752e-05,4.458110332489014,4.830709457397461
8,9.999999747378752e-05,4.29852294921875,4.716087341308594
9,9.999999747378752e-05,4.159824848175049,4.630837440490723
10,9.999999747378752e-05,4.043399810791016,4.602530002593994
11,9.999999747378752e-05,3.9349074363708496,4.5861639976501465
12,9.999999747378752e-05,3.8370773792266846,4.574221134185791
13,9.999999747378752e-05,3.7374637126922607,4.565950870513916
14,9.999999747378752e-05,3.650768995285034,4.5468854904174805
15,9.999999747378752e-05,3.5621774196624756,4.552174091339111
16,9.999999747378752e-05,3.4862887859344482,4.533756732940674
17,9.999999747378752e-05,3.4015557765960693,4.5507683753967285
18,9.999999747378752e-05,3.3250620365142822,4.645419120788574
19,4.999999873689376e-05,3.1289126873016357,4.548052787780762
